position,club,points,P,W,D,L,F,A,YC,RD
1,Köln,45,30,17,11,2,78,40,0,1
2,Meidericher,39,30,13,13,4,60,36,0,1
3,Eintracht Frankfurt,39,30,16,7,7,65,41,0,0
4,Borussia Dortmund,33,30,14,5,11,73,57,0,0
5,Stuttgart,33,30,13,7,10,48,40,0,0
6,Hamburger,32,30,11,10,9,69,60,0,0
7,1860 München,31,30,11,9,10,66,50,0,1
8,Schalke 04,29,30,12,5,13,51,53,0,1
9,Nürnberg,29,30,11,7,12,45,56,0,0
10,Werder Bremen,28,30,10,8,12,53,62,0,0
11,Eintracht Braunschweig,28,30,11,6,13,36,49,0,0
12,Kaiserslautern,26,30,10,6,14,48,69,0,2
13,Karlsruher,24,30,8,8,14,42,55,0,0
14,Hertha Berliner,24,30,9,6,15,45,65,0,1
15,Münster,23,30,7,9,14,34,52,0,0
16,Saarbrücken,17,30,6,5,19,44,72,0,1
